Date,Department,ARMS Department ID,Total # of Employees,# of Employees with Debt,% Employees with Debt,Total Amount Due
10/14/11,Streets & Sanitation,,2131,202,9.5,84266
10/14/11,Transportation,,1128,75,6.6,22355
10/14/11,Water Management,,1778,117,6.6,42233
10/21/11,Administrative Hearings,,39,0,0,0
10/21/11,Animal Care & Control,,68,2,2.9,2337
10/21/11,Aviation,,1265,44,3.5,15162
10/21/11,Board of Elections,,112,0,0,0
10/21/11,Board of Ethics,,6,0,0,0
10/21/11,Budget & Management,,50,0,0,0
10/21/11,Buildings,,283,3,1.1,618
10/21/11,Business Affairs & Consumer Protection,,183,4,2.2,2569
10/21/11,Chicago Board of Education,,48796,2626,5.4,899139
10/21/11,Chicago Housing Authority,,467,20,4.3,6133
10/21/11,Chicago Park District,,6420,367,5.7,209971
10/21/11,Chicago Public Library,,1031,28,2.7,5765
10/21/11,Chicago Transit Authority,,10279,1876,18.3,617865
10/21/11,City Clerk,,98,2,2,535
10/21/11,City Colleges of Chicago,,1867,32,1.7,11423
10/21/11,City Council,,425,26,6.1,11126
10/21/11,City Treasurer,,22,0,0,0
10/21/11,Compliance,,23,0,0,0
10/21/11,Cultural Affairs & Special Events,,48,0,0,0
10/21/11,Emergency Management & Communications,,1317,75,5.7,25135
10/21/11,Environment,,57,2,3.5,269
10/21/11,Family & Support Services,,866,22,2.5,8874
10/21/11,Finance,,175,1,0.6,2053
10/21/11,Fire,,4952,159,3.2,91246
10/21/11,Fleet Management,,593,19,3.2,8198
10/21/11,General Services,,490,26,5.3,9057
10/21/11,Housing & Economic Development,,295,2,0.7,507
10/21/11,Human Relations,,28,0,0,0
10/21/11,Human Resources,,63,0,0,0
10/21/11,Independent Police Review Authority,,83,5,6,2156
10/21/11,Innovation & Technology,,90,0,0,0
10/21/11,Law,,426,0,0,0
10/21/11,Mayor's Office for People with Disabilities,,32,0,0,0
10/21/11,Office of the Mayor,,72,0,0,0
10/21/11,Police,,13928,654,4.7,232813
10/21/11,Procurement Services,,59,0,0,0
10/21/11,Public Health,,835,31,3.7,9686
10/21/11,Revenue ,,405,10,2.5,28995
10/21/11,Streets & Sanitation,,2131,181,8.5,72684
10/21/11,Transportation,,1128,61,5.4,17230
10/21/11,Water Management,,1778,105,5.9,34756
10/28/11,Administrative Hearings,,39,0,0,0
10/28/11,Animal Care & Control,,68,1,1.5,2191
10/28/11,Aviation,,1265,34,2.7,13097
10/28/11,Board of Elections,,112,0,0,0
10/28/11,Board of Ethics,,6,0,0,0
10/28/11,Budget & Management,,50,0,0,0
10/28/11,Buildings,,283,3,1.1,618
10/28/11,Business Affairs & Consumer Protection,,183,3,1.6,490
10/28/11,Chicago Board of Education,,48796,2468,5,854727
10/28/11,Chicago Housing Authority,,467,20,4.3,6135
10/28/11,Chicago Park District,,6420,326,5.1,197926
10/28/11,Chicago Public Library,,1031,19,1.8,3985
10/28/11,Chicago Transit Authority,,10279,1757,17.1,580195
10/28/11,City Clerk,,98,2,2,535
10/28/11,City Colleges of Chicago,,1867,22,1.2,9069
10/28/11,City Council,,425,24,5.6,10445
10/28/11,City Treasurer,,22,0,0,0
10/28/11,Compliance,,23,0,0,0
10/28/11,Cultural Affairs & Special Events,,48,0,0,0
10/28/11,Emergency Management & Communications,,1317,63,4.8,20626
10/28/11,Environment,,57,2,3.5,269
10/28/11,Family & Support Services,,866,19,2.2,7914
10/28/11,Finance,,175,1,0.6,2053
10/28/11,Fire,,4952,140,2.8,85558
10/28/11,Fleet Management,,593,14,2.4,6563
10/28/11,General Services,,490,24,5.2,8557
10/28/11,Housing & Economic Development,,295,2,0.7,385
10/28/11,Human Relations,,28,0,0,0
10/28/11,Human Resources,,63,0,0,0
10/28/11,Independent Police Review Authority,,83,4,4.8,1796
10/28/11,Innovation & Technology,,90,0,0,0
10/28/11,Law,,426,0,0,0
10/28/11,Mayor's Office for People with Disabilities,,32,0,0,0
10/28/11,Office of the Mayor,,72,0,0,0
10/28/11,Police,,13928,586,4.2,211858
10/28/11,Procurement Services,,59,0,0,0
10/28/11,Public Health,,835,19,2.3,5565
10/28/11,Revenue ,,405,4,1,535
10/28/11,Streets & Sanitation,,2131,150,7,62445
10/28/11,Transportation,,1128,48,4.3,12196
10/28/11,Water Management,,1778,78,4.4,26864
11/4/11,Administrative Hearings,,39,0,0,0
11/4/11,Animal Care & Control,,68,1,1.5,2191
11/4/11,Aviation,,1265,29,2.3,11864
11/4/11,Board of Elections,,112,0,0,0
11/4/11,Board of Ethics,,6,0,0,0
11/4/11,Budget & Management,,50,0,0,0
11/4/11,Buildings,,283,2,0.7,359
11/4/11,Business Affairs & Consumer Protection,,183,1,0.5,240
11/4/11,Chicago Board of Education,,49778,2370,4.8,822409
11/4/11,Chicago Housing Authority,,467,14,3,4930
11/4/11,Chicago Park District,,6420,313,4.9,194331
11/4/11,Chicago Public Library,,1031,12,1.2,3046
11/4/11,Chicago Transit Authority,,10279,1611,15.7,531222
11/4/11,City Clerk,,98,0,0,0
11/4/11,City Colleges of Chicago,,1867,20,1.1,8594
11/4/11,City Council,,425,20,4.7,8945
11/4/11,City Treasurer,,22,0,0,0
11/4/11,Compliance,,23,0,0,0
11/4/11,Cultural Affairs & Special Events,,48,0,0,0
11/4/11,Emergency Management & Communications,,1317,40,3,15392
11/4/11,Environment,,57,1,1.8,33
11/4/11,Family & Support Services,,866,11,1.3,4837
11/4/11,Finance,,175,0,0,0
11/4/11,Fire,,4952,109,2.2,43180
11/4/11,Fleet Management,,593,11,1.9,6123
11/4/11,General Services,,490,17,3.5,6193
11/4/11,Housing & Economic Development,,295,0,0,0
11/4/11,Human Relations,,28,0,0,0
11/4/11,Human Resources,,63,0,0,0
11/4/11,Independent Police Review Authority,,83,1,1.2,903
11/4/11,Innovation & Technology,,90,0,0,0
11/4/11,Law,,426,0,0,0
11/4/11,Mayor's Office for People with Disabilities,,32,0,0,0
11/4/11,Office of the Mayor,,72,0,0,0
11/4/11,Police,,13928,528,3.8,193906
11/4/11,Procurement Services,,59,0,0,0
11/4/11,Public Health,,835,16,1.9,4945
11/4/11,Revenue ,,405,0,0,0
11/4/11,Streets & Sanitation,,2131,141,6.6,54357
11/4/11,Transportation,,1128,43,3.8,11017
11/4/11,Water Management,,1778,59,3.3,21574
11/11/11,Administrative Hearings,,39,0,0,0
11/11/11,Animal Care & Control,,68,1,1.5,2191
11/11/11,Aviation,,1265,18,1.4,7658
11/11/11,Board of Elections,,112,0,0,0
11/11/11,Board of Ethics,,6,0,0,0
11/11/11,Budget & Management,,50,0,0,0
11/11/11,Buildings,,283,2,0.7,303
11/11/11,Business Affairs & Consumer Protection,,183,1,0.5,240
11/11/11,Chicago Board of Education,,49778,2298,4.6,784120
11/11/11,Chicago Housing Authority,,467,14,3,4740
11/11/11,Chicago Park District,,6420,305,4.8,188350
11/11/11,Chicago Public Library,,1031,1,0.1,250
11/11/11,Chicago Transit Authority,,10279,1569,15.3,517269
11/11/11,City Clerk,,98,0,0,0
11/11/11,City Colleges of Chicago,,1867,18,1,8196
11/11/11,City Council,,425,17,4,8400
11/11/11,City Treasurer,,22,0,0,0
11/11/11,Compliance,,23,0,0,0
11/11/11,Cultural Affairs & Special Events,,48,0,0,0
11/11/11,Emergency Management & Communications,,1317,23,1.7,10887
11/11/11,Environment,,57,0,0,0
11/11/11,Family & Support Services,,866,4,0.5,2664
11/11/11,Finance,,175,0,0,0
11/11/11,Fire,,4952,85,1.7,37303
11/11/11,Fleet Management,,593,4,0.7,2663
11/11/11,General Services,,490,9,1.7,3605
11/11/11,Housing & Economic Development,,295,0,0,0
11/11/11,Human Relations,,28,0,0,0
11/11/11,Human Resources,,63,0,0,0
11/11/11,Independent Police Review Authority,,83,1,1.2,403
11/11/11,Innovation & Technology,,90,0,0,0
11/11/11,Law,,426,0,0,0
11/11/11,Mayor's Office for People with Disabilities,,32,0,0,0
11/11/11,Office of the Mayor,,72,0,0,0
11/11/11,Police,,13928,471,3.4,176008
11/11/11,Procurement Services,,59,0,0,0
11/11/11,Public Health,,835,10,1.2,3450
11/11/11,Revenue ,,405,0,0,0
11/11/11,Streets & Sanitation,,2131,89,4.2,36993
11/11/11,Transportation,,1128,22,2,4726
11/11/11,Water Management,,1778,24,1.3,9823
11/18/11,Administrative Hearings,,39,0,0,0
11/18/11,Animal Care & Control,,65,1,1.5,2191
11/18/11,Aviation,,1446,13,0.9,7321
11/18/11,Board of Elections,,112,0,0,0
11/18/11,Board of Ethics,,6,0,0,0
11/18/11,Budget & Management,,50,0,0,0
11/18/11,Buildings,,281,1,0.4,293
11/18/11,Business Affairs & Consumer Protection,,182,1,0.5,240
11/18/11,Chicago Board of Education,,49778,2245,4.5,770435
11/18/11,Chicago Housing Authority,,467,13,2.8,4642
11/18/11,Chicago Park District,,6420,301,4.7,186705
11/18/11,Chicago Public Library,,1031,1,0.1,250
11/18/11,Chicago Transit Authority,,10279,1539,15,504495
11/18/11,City Clerk,,98,0,0,0
11/18/11,City Colleges of Chicago,,1867,18,1,8197
11/18/11,City Council,,377,17,4.5,8400
11/18/11,City Treasurer,,22,0,0,0
11/18/11,Compliance,,23,0,0,0
11/18/11,Cultural Affairs & Special Events,,48,0,0,0
11/18/11,Emergency Management & Communications,,1457,18,1.2,9810
11/18/11,Environment,,57,0,0,0
11/18/11,Family & Support Services,,833,1,0.1,610
11/18/11,Finance,,175,0,0,0
11/18/11,Fire,,4940,79,1.6,35847
11/18/11,Fleet Management,,590,4,0.7,2663
11/18/11,General Services,,461,6,1.3,2905
11/18/11,Housing & Economic Development,,295,0,0,0
11/18/11,Human Relations,,28,0,0,0
11/18/11,Human Resources,,63,0,0,0
11/18/11,Independent Police Review Authority,,85,1,1.2,403
11/18/11,Innovation & Technology,,90,0,0,0
11/18/11,Law,,426,0,0,0
11/18/11,Mayor's Office for People with Disabilities,,32,0,0,0
11/18/11,Office of the Mayor,,72,0,0,0
11/18/11,Police,,13952,427,3.1,161147
11/18/11,Procurement Services,,59,0,0,0
11/18/11,Public Health,,832,5,0.6,2009
11/18/11,Revenue ,,405,0,0,0
11/18/11,Streets & Sanitation,,2110,64,3,25839
11/18/11,Transportation,,1195,10,0.8,2133
11/18/11,Water Management,,1778,16,0.9,4602
11/25/11,Administrative Hearings,,39,0,0,0
11/25/11,Animal Care & Control,,65,1,1.5,2191
11/25/11,Aviation,,1446,8,0.6,4083
11/25/11,Board of Elections,,112,0,0,0
11/25/11,Board of Ethics,,6,0,0,0
11/25/11,Budget & Management,,50,0,0,0
11/25/11,Buildings,,281,0,0,0
11/25/11,Business Affairs & Consumer Protection,,182,1,0.5,240
11/25/11,Chicago Board of Education,,49778,2215,4.4,761618
11/25/11,Chicago Housing Authority,,467,13,2.8,4644
11/25/11,Chicago Park District,,6420,298,4.6,183264
11/25/11,Chicago Public Library,,1033,1,0.1,250
11/25/11,Chicago Transit Authority,,10279,1524,14.8,496865
11/25/11,City Clerk,,98,0,0,0
11/25/11,City Colleges of Chicago,,1867,18,1,7843
11/25/11,City Council,,377,17,4.5,8400
11/25/11,City Treasurer,,22,0,0,0
11/25/11,Compliance,,23,0,0,0
11/25/11,Cultural Affairs & Special Events,,48,0,0,0
11/25/11,Emergency Management & Communications,,1457,15,1,7710
11/25/11,Environment,,57,0,0,0
11/25/11,Family & Support Services,,833,1,0.1,610
11/25/11,Finance,,175,0,0,0
11/25/11,Fire,,4940,73,1.5,34347
11/25/11,Fleet Management,,590,1,0.2,218
11/25/11,General Services,,461,6,1.3,2905
11/25/11,Housing & Economic Development,,295,0,0,0
11/25/11,Human Relations,,28,0,0,0
11/25/11,Human Resources,,63,0,0,0
11/25/11,Independent Police Review Authority,,85,1,1.2,403
11/25/11,Innovation & Technology,,90,0,0,0
11/25/11,Law,,426,0,0,0
11/25/11,Mayor's Office for People with Disabilities,,32,0,0,0
11/25/11,Office of the Mayor,,72,0,0,0
11/25/11,Police,,13952,412,3,157393
11/25/11,Procurement Services,,59,0,0,0
11/25/11,Public Health,,832,4,0.5,1909
11/25/11,Revenue ,,405,0,0,0
11/25/11,Streets & Sanitation,,2110,51,2.4,22387
11/25/11,Transportation,,1195,8,0.7,1702
11/25/11,Water Management,,1778,11,0.6,3337
12/2/11,Administrative Hearings,,39,0,0,0
12/2/11,Animal Care & Control,,65,1,1.5,2191
12/2/11,Aviation,,1446,8,0.6,4083
12/2/11,Board of Elections,,112,0,0,0
12/2/11,Board of Ethics,,6,0,0,0
12/2/11,Budget & Management,,50,0,0,0
12/2/11,Buildings,,281,0,0,0
12/2/11,Business Affairs & Consumer Protection,,182,1,0.5,240
12/2/11,Chicago Board of Education,,49778,2190,4.4,762696
12/2/11,Chicago Housing Authority,,467,8,1.7,3273
12/2/11,Chicago Park District,,6420,295,4.6,182523
12/2/11,Chicago Public Library,,1033,1,0.1,250
12/2/11,Chicago Transit Authority,,10279,1497,14.6,486229
12/2/11,City Clerk,,98,0,0,0
12/2/11,City Colleges of Chicago,,1867,18,1,7843
12/2/11,City Council,,377,17,4.5,8400
12/2/11,City Treasurer,,22,0,0,0
12/2/11,Compliance,,23,0,0,0
12/2/11,Cultural Affairs & Special Events,,48,0,0,0
12/2/11,Emergency Management & Communications,,1457,15,1,7711
12/2/11,Environment,,57,0,0,0
12/2/11,Family & Support Services,,833,1,0.1,610
12/2/11,Finance,,175,0,0,0
12/2/11,Fire,,4940,68,1.4,33534
12/2/11,Fleet Management,,590,1,0.2,218
12/2/11,General Services,,461,6,1.3,2905
12/2/11,Housing & Economic Development,,295,0,0,0
12/2/11,Human Relations,,28,0,0,0
12/2/11,Human Resources,,63,0,0,0
12/2/11,Independent Police Review Authority,,85,1,1.2,403
12/2/11,Innovation & Technology,,90,0,0,0
12/2/11,Law,,426,0,0,0
12/2/11,Mayor's Office for People with Disabilities,,32,0,0,0
12/2/11,Office of the Mayor,,72,0,0,0
12/2/11,Police,,13952,392,2.8,151804
12/2/11,Procurement Services,,59,0,0,0
12/2/11,Public Health,,832,4,0.5,1909
12/2/11,Revenue ,,405,0,0,0
12/2/11,Streets & Sanitation,,2110,25,1.2,10182
12/2/11,Transportation,,1195,7,0.6,1615
12/2/11,Water Management,,1778,9,0.5,2609
12/9/11,Administrative Hearings,,39,0,0,0
12/9/11,Animal Care & Control,,65,1,1.5,2191
12/9/11,Aviation,,1446,8,0.6,3854
12/9/11,Board of Elections,,112,0,0,0
12/9/11,Board of Ethics,,6,0,0,0
12/9/11,Budget & Management,,50,0,0,0
12/9/11,Buildings,,281,0,0,0
12/9/11,Business Affairs & Consumer Protection,,182,1,0.5,240
12/9/11,Chicago Board of Education,,49778,2156,4.3,755053
12/9/11,Chicago Housing Authority,,467,8,1.7,3273
12/9/11,Chicago Park District,,6420,290,4.5,180848
12/9/11,Chicago Public Library,,1033,1,0.1,250
12/9/11,Chicago Transit Authority,,10279,1468,14.3,480375
12/9/11,City Clerk,,98,0,0,0
12/9/11,City Colleges of Chicago,,1867,17,0.9,7437
12/9/11,City Council,,377,17,4.5,8400
12/9/11,City Treasurer,,22,0,0,0
12/9/11,Compliance,,23,0,0,0
12/9/11,Cultural Affairs & Special Events,,48,0,0,0
12/9/11,Emergency Management & Communications,,1457,15,1,7672
12/9/11,Environment,,57,0,0,0
12/9/11,Family & Support Services,,833,1,0.1,610
12/9/11,Finance,,175,0,0,0
12/9/11,Fire,,4940,67,1.4,32287
12/9/11,Fleet Management,,590,1,0.2,218
12/9/11,General Services,,461,5,1.1,2544
12/9/11,Housing & Economic Development,,295,0,0,0
12/9/11,Human Relations,,28,0,0,0
12/9/11,Human Resources,,63,0,0,0
12/9/11,Independent Police Review Authority,,85,1,1.2,403
12/9/11,Innovation & Technology,,90,0,0,0
12/9/11,Law,,426,0,0,0
12/9/11,Mayor's Office for People with Disabilities,,32,0,0,0
12/9/11,Office of the Mayor,,72,0,0,0
12/9/11,Police,,13952,383,2.7,149407
12/9/11,Procurement Services,,59,0,0,0
12/9/11,Public Health,,832,3,0.4,1609
12/9/11,Revenue ,,405,0,0,0
12/9/11,Streets & Sanitation,,2110,16,0.8,7326
12/9/11,Transportation,,1195,6,0.5,1525
12/9/11,Water Management,,1778,9,0.5,2559
12/16/11,Administrative Hearings,,39,0,0,0
12/16/11,Animal Care & Control,,65,0,0,0
12/16/11,Aviation,,1446,8,0.6,3848
12/16/11,Board of Elections,,112,0,0,0
12/16/11,Board of Ethics,,6,0,0,0
12/16/11,Budget & Management,,50,0,0,0
12/16/11,Buildings,,281,0,0,0
12/16/11,Business Affairs & Consumer Protection,,182,0,0,0
12/16/11,Chicago Board of Education,,49778,2082,4.2,729403
12/16/11,Chicago Housing Authority,,467,8,1.7,3275
12/16/11,Chicago Park District,,6420,282,4.4,178420
12/16/11,Chicago Public Library,,1033,0,0,0
12/16/11,Chicago Transit Authority,,10279,1412,13.7,425241
12/16/11,City Clerk,,98,0,0,0
12/16/11,City Colleges of Chicago,,1867,19,1,7456
12/16/11,City Council,,377,17,4.5,8401
12/16/11,City Treasurer,,22,0,0,0
12/16/11,Compliance,,23,0,0,0
12/16/11,Cultural Affairs & Special Events,,48,0,0,0
12/16/11,Emergency Management & Communications,,1457,15,1,7235
12/16/11,Environment,,57,0,0,0
12/16/11,Family & Support Services,,833,1,0.1,610
12/16/11,Finance,,175,0,0,0
12/16/11,Fire,,4940,66,1.3,32070
12/16/11,Fleet Management,,590,1,0.2,218
12/16/11,General Services,,461,5,1.1,2544
12/16/11,Housing & Economic Development,,295,0,0,0
12/16/11,Human Relations,,28,0,0,0
12/16/11,Human Resources,,63,0,0,0
12/16/11,Independent Police Review Authority,,85,1,1.2,403
12/16/11,Innovation & Technology,,90,0,0,0
12/16/11,Law,,426,0,0,0
12/16/11,Mayor's Office for People with Disabilities,,32,0,0,0
12/16/11,Office of the Mayor,,72,0,0,0
12/16/11,Police,,13952,376,2.7,147416
12/16/11,Procurement Services,,59,0,0,0
12/16/11,Public Health,,832,3,0.4,1609
12/16/11,Revenue ,,405,0,0,0
12/16/11,Streets & Sanitation,,2110,16,0.8,8587
12/16/11,Transportation,,1195,6,0.5,1525
12/16/11,Water Management,,1778,9,0.5,2559
1/6/12,Administrative Hearings,,39,0,0,0
1/6/12,Animal Care & Control,,65,0,0,0
1/6/12,Aviation,,1446,7,0.5,2510
1/6/12,Board of Elections,,112,0,0,0
1/6/12,Board of Ethics,,6,0,0,0
1/6/12,Budget & Management,,50,0,0,0
1/6/12,Buildings,,281,0,0,0
1/6/12,Business Affairs & Consumer Protection,,182,0,0,0
1/6/12,Chicago Board of Education,,49778,2044,4.1,714081
1/6/12,Chicago Housing Authority,,467,7,1.5,2648
1/6/12,Chicago Park District,,6420,271,4.2,171315
1/6/12,Chicago Public Library,,1016,1,0.1,399
1/6/12,Chicago Transit Authority,,10279,1261,12.3,342873
1/6/12,City Clerk,,98,0,0,0
1/6/12,City Colleges of Chicago,,1867,19,1,7247
1/6/12,City Council,,377,16,4.2,8195
1/6/12,City Treasurer,,22,0,0,0
1/6/12,Cultural Affairs & Special Events,,48,0,0,0
1/6/12,Emergency Management & Communications,,1457,15,1,7246
1/6/12,Family & Support Services,,833,0,0,0
1/6/12,Finance,,580,0,0,0
1/6/12,Fire,,4940,58,1.2,30643
1/6/12,Fleet & Facilities Management,,1051,2,0.2,618
1/6/12,Housing & Economic Development,,295,0,0,0
1/6/12,Human Relations,,28,0,0,0
1/6/12,Human Resources,,63,0,0,0
1/6/12,Independent Police Review Authority,,85,1,1.2,403
1/6/12,Innovation & Technology,,90,0,0,0
1/6/12,Law,,426,0,0,0
1/6/12,Mayor's Office for People with Disabilities,,32,0,0,0
1/6/12,Office of the Mayor,,72,0,0,0
1/6/12,Police,,13952,312,2.2,101540
1/6/12,Procurement Services,,59,0,0,0
1/6/12,Public Health,,832,3,0.4,1609
1/6/12,Streets & Sanitation,,2110,17,0.8,9305
1/6/12,Transportation,,1195,4,0.3,720
1/6/12,Water Management,,1778,11,0.6,3221
2/7/12,Administrative Hearings,,39,3,7.7,724
2/7/12,Animal Care & Control,,64,2,6.3,350
2/7/12,Aviation,,1467,89,6.1,36694
2/7/12,Board of Elections,,112,8,7.1,1391
2/7/12,Board of Ethics,,6,1,16.7,103
2/7/12,Budget & Management,,50,0,0,0
2/7/12,Buildings,,280,10,3.6,2652
2/7/12,Business Affairs & Consumer Protection,,180,7,3.9,2298
2/7/12,Chicago Board of Education,,50469,3076,6.1,1186201
8/17/12,Law,,437,1,0.2,400
2/7/12,Chicago Housing Authority,,494,21,4.3,7911
2/7/12,Chicago Park District,,3052,223,7.3,110597
2/7/12,Chicago Public Library,,1016,17,1.7,8950
2/7/12,Chicago Transit Authority,,10136,1771,17.5,577910
2/7/12,City Clerk,,98,4,4.1,829
2/7/12,City Colleges of Chicago,,6910,556,8,351461
2/7/12,City Council,,373,27,7.2,16119
2/7/12,City Treasurer,,22,0,0,0
2/7/12,Cultural Affairs & Special Events,,61,2,3.3,222
2/7/12,Emergency Management & Communications,,1439,94,6.5,45474
2/7/12,Family & Support Services,,830,24,2.9,8127
2/7/12,Finance,,502,23,4.6,10951
2/7/12,Fire,,4924,186,3.8,56429
2/7/12,Fleet & Facilities Management,,1059,45,4.2,15359
2/7/12,Housing & Economic Development,,222,10,4.5,1993
2/7/12,Human Relations,,28,0,0,0
2/7/12,Human Resources,,74,1,1.4,200
2/7/12,Independent Police Review Authority,,90,5,5.6,2217
2/7/12,Innovation & Technology,,85,1,1.2,200
2/7/12,Law,,449,7,1.6,2585
2/7/12,Mayor's Office for People with Disabilities,,29,2,6.9,430
2/7/12,Office of the Mayor,,72,0,0,0
2/7/12,Police,,13819,689,5,264278
2/7/12,Procurement Services,,59,0,0,0
2/7/12,Public Health,,841,31,3.7,13340
2/7/12,Streets & Sanitation,,2255,159,7.1,76865
2/7/12,Transportation,,1093,55,5,17813
2/7/12,Water Management,,1795,108,6,31500
2/17/12,Administrative Hearings,,39,2,5.1,404
2/17/12,Animal Care & Control,,50,2,6.3,300
2/17/12,Aviation,,1452,66,4.5,28633
2/17/12,Board of Elections,,111,1,0.9,146
2/17/12,Board of Ethics,,7,0,0,0
2/17/12,Budget & Management,,50,0,0,0
2/17/12,Buildings,,263,1,0.4,220
2/17/12,Business Affairs & Consumer Protection,,180,3,1.7,980
2/17/12,Chicago Board of Education,,50469,2727,5.4,1067306
2/17/12,Chicago Housing Authority,,494,14,2.8,5477
2/17/12,Chicago Park District,,3052,208,6.8,100732
2/17/12,Chicago Public Library,,835,9,1.1,3832
2/17/12,Chicago Transit Authority,,10136,1661,16.4,535366
2/17/12,City Clerk,,99,2,2,671
2/17/12,City Colleges of Chicago,,6910,541,7.8,331855
2/17/12,City Council,,377,27,7.2,7513
2/17/12,City Treasurer,,22,0,0,0
2/17/12,Cultural Affairs & Special Events,,61,0,0,0
2/17/12,Emergency Management & Communications,,1401,75,5.4,39411
2/17/12,Family & Support Services,,831,11,1.3,4279
2/17/12,Finance,,574,8,1.4,3438
2/17/12,Fire,,4915,138,2.8,44850
2/17/12,Fleet & Facilities Management,,1056,33,3.1,10342
2/17/12,Housing & Economic Development,,217,1,0.5,240
2/17/12,Human Relations,,28,0,0,0
2/17/12,Human Resources,,70,1,1.4,200
2/17/12,Independent Police Review Authority,,88,3,3.4,2090
2/17/12,Innovation & Technology,,85,0,0,0
2/17/12,Law,,440,6,1.4,2472
2/17/12,Mayor's Office for People with Disabilities,,29,0,0,0
2/17/12,Office of the Mayor,,72,0,0,0
2/17/12,Police,,13710,575,4.2,230797
2/17/12,Procurement Services,,59,0,0,0
2/17/12,Public Health,,815,17,2.1,4931
2/17/12,Streets & Sanitation,,2231,131,5.9,69092
2/17/12,Transportation,,1063,37,3.5,12057
2/17/12,Water Management,,1778,71,4,22335
3/2/12,Administrative Hearings,,39,2,5.1,404
3/2/12,Animal Care & Control,,50,1,6.3,200
3/2/12,Aviation,,1452,49,3.4,22320
3/2/12,Board of Elections,,111,1,0.9,146
3/2/12,Board of Ethics,,7,0,0,0
3/2/12,Budget & Management,,50,0,0,0
3/2/12,Buildings,,263,1,0.4,220
3/2/12,Business Affairs & Consumer Protection,,180,2,1.1,780
3/2/12,Chicago Board of Education,,50469,2525,5,990782
3/2/12,Chicago Housing Authority,,494,13,2.6,5178
3/2/12,Chicago Park District,,3052,162,5.3,82020
3/2/12,Chicago Public Library,,835,7,0.8,3494
3/2/12,Chicago Transit Authority,,10136,1581,15.6,511157
3/2/12,City Clerk,,99,1,1,572
3/2/12,City Colleges of Chicago,,6910,474,6.9,324087
3/2/12,City Council,,377,27,7.2,7415
3/2/12,City Treasurer,,22,0,0,0
3/2/12,Cultural Affairs & Special Events,,61,0,0,0
3/2/12,Emergency Management & Communications,,1401,65,4.6,37221
3/2/12,Family & Support Services,,831,7,0.8,2207
3/2/12,Finance,,574,6,1,1294
3/2/12,Fire,,4915,110,2.2,34682
3/2/12,Fleet & Facilities Management,,1056,27,2.6,7008
3/2/12,Housing & Economic Development,,217,1,0.5,240
3/2/12,Human Relations,,28,0,0,0
3/2/12,Human Resources,,70,1,1.4,200
3/2/12,Independent Police Review Authority,,88,1,1.1,440
3/2/12,Innovation & Technology,,85,0,0,0
3/2/12,Law,,440,5,1.1,2424
3/2/12,Mayor's Office for People with Disabilities,,29,0,0,0
3/2/12,Office of the Mayor,,72,0,0,0
3/2/12,Police,,13710,516,3.8,216159
3/2/12,Procurement Services,,59,0,0,0
3/2/12,Public Health,,815,15,1.8,5289
3/2/12,Streets & Sanitation,,2231,100,4.5,50702
3/2/12,Transportation,,1063,30,2.8,9405
3/2/12,Water Management,,1778,64,3.6,20409
3/9/12,Administrative Hearings,,38,2,5.3,404
3/9/12,Animal Care & Control,,52,1,1.9,200
3/9/12,Aviation,,1446,38,2.6,16308
3/9/12,Board of Elections,,111,0,0,0
