Tow Date,Make,Style,Model,Color,Plate,State,Towed to Address,Tow Facility Phone,Inventory Number
08/01/2020,PONT,4T,,BLK,AV87689,IL,10300 S. Doty,(773) 568-8495,2902672
07/16/2020,TOYT,4D,,BLK,L393742,IL,701 N. Sacramento,(773) 265-7605,6989103
08/22/2020,HOND,4D,,SIL,AS78422,IL,701 N. Sacramento,(773) 265-7605,6990757
06/10/2020,HOND,2D,,GRY,,IL,701 N. Sacramento,(773) 265-1846,1540204
07/24/2020,CHEV,4D,,SIL,,IL,10300 S. Doty,(773) 568-8495,2902360
08/14/2020,NISS,4D,,BLK,CH61508,IL,701 N. Sacramento,(773) 265-7605,6990424
06/08/2020,TOYT,4D,,WHI,ZZ24514,IL,10300 S. Doty,(773) 568-8495,2901043
07/16/2020,TOYT,LL,,SIL,BV81417,IL,10300 S. Doty,(773) 568-8495,2902157
07/08/2020,INFI,4D,,WHI,BR25394,IL,10300 S. Doty,(773) 568-8495,2901895
06/10/2020,FORD,4D,,BLU,BU84656,IL,10300 S. Doty,(773) 568-8495,2901113
07/18/2020,HYUN,4D,,BLU,BW77759,IL,10300 S. Doty,(773) 568-8495,2902200
08/26/2020,FORD,4D,,WHI,1DV6409,AL,10300 S. Doty,(773) 568-8495,2903540
06/17/2020,JEEP,LL,,BLK,448ZSE,KY,701 N. Sacramento,(773) 265-1846,1540211
08/28/2020,DODG,PK,,BLK,2088010B,IL,10300 S. Doty,(773) 568-8495,2903652
06/10/2020,HOND,4D,,GRY,AT74650,IL,701 N. Sacramento,(773) 265-1846,1540206
06/17/2020,OLDS,VN,,WHI,BZ29699,IL,701 N. Sacramento,(773) 265-1846,1540212
06/22/2020,FORD,LL,,RED,703RGJ,IN,10300 S. Doty,(773) 568-8495,2901428
07/18/2020,CHEV,4D,,BLU,AZ30960,IL,701 N. Sacramento,(773) 265-7605,6989217
08/11/2020,CADI,4D,,SIL,,,10300 S. Doty,(773) 568-8495,2902969
06/13/2020,CHRY,4D,,SIL,BM39782,IL,10300 S. Doty,(773) 568-8495,2901203
06/17/2020,PONT,LL,,GRY,AL27770,IL,10300 S. Doty,(773) 785-9752,1720202
07/07/2020,TOYT,VN,,GLD,AR19043,IL,701 N. Sacramento,(773) 265-7605,6988784
08/11/2020,NISS,4D,,GRY,AX46862,IL,10300 S. Doty,(773) 568-8495,2902970
08/26/2020,CHEV,PK,,BLK,2676548B,IL,10300 S. Doty,(773) 568-8495,2903541
06/22/2020,KIA,LL,,TAN,IIF665,IA,10300 S. Doty,(773) 568-8495,2901430
09/01/2020,MINI,4D,,BLK,15299AA,IL,400 E. Lower Wacker,(312) 744-7550,0225308
08/26/2020,BMW,LL,,SIL,BE29755,IL,10300 S. Doty,(773) 568-8495,2903543
06/26/2020,HOND,LL,,BLK,V617938,IL,10300 S. Doty,(773) 568-8495,2901524
07/14/2020,COAM,HS,,WHI,,IL,10300 S. Doty,(773) 568-8495,2902077
06/17/2020,CHEV,LL,,MAR,,IL,701 N. Sacramento,(773) 265-1846,1540213
06/13/2020,MAZD,SW,,SIL,ZZ25956,IL,10300 S. Doty,(773) 568-8495,2901204
07/07/2020,FORD,LL,,MAR,CC16998,IL,10300 S. Doty,(773) 568-8495,2901897
08/28/2020,HYUN,LL,,GRN,CB82149,IL,10300 S. Doty,(773) 568-8495,2903655
07/16/2020,INFI,4D,,GRY,BH91214,IL,701 N. Sacramento,(773) 265-7605,6989108
08/27/2020,HYUN,4D,,SIL,BU87539,IL,10300 S. Doty,(773) 568-8495,2903619
07/27/2020,HYUN,LL,,SIL,E365980,IL,701 N. Sacramento,(773) 265-1846,1540305
07/07/2020,CADI,LL,TK,LGR,CB80265,IL,701 N. Sacramento,(773) 265-7605,6988785
08/21/2020,PONT,4D,,MAR,,IL,701 N. Sacramento,(773) 265-1846,1540488
08/14/2020,BUIC,LL,,MAR,,IL,701 N. Sacramento,(773) 265-7605,6990425
06/08/2020,OLDS,4T,,GRY,BM25089,IL,10300 S. Doty,(773) 568-8495,2901045
08/28/2020,TOYT,4D,,SIL,CC93794,IL,10300 S. Doty,(773) 568-8495,2903654
07/20/2020,DODG,4D,,GRY,3268149,IL,10300 S. Doty,(773) 785-9752,1720236
07/22/2020,HOND,4D,,WHI,S921521,IL,701 N. Sacramento,(773) 265-1846,1540293
09/01/2020,HOND,4D,,GRY,ZHK7232T,NY,400 E. Lower Wacker,(312) 744-7550,0225310
08/27/2020,HYUN,4D,ELN,GRY,,,701 N. Sacramento,(773) 265-7605,6990942
07/20/2020,DODG,VN,,GRY,Q986404,IL,10300 S. Doty,(773) 785-9752,1720237
08/27/2020,DODG,4D,,BLK,IT9978,IL,10300 S. Doty,(773) 568-8495,2903620
08/21/2020,BUIC,4D,,SIL,BR71713,IL,701 N. Sacramento,(773) 265-7605,6990720
07/03/2020,CHEV,4D,,SIL,,IL,701 N. Sacramento,(773) 265-7605,6988617
07/03/2020,FORD,4D,,GRN,,IL,701 N. Sacramento,(773) 265-7605,6988634
08/27/2020,DODG,PK,,WHI,2040154B,IL,10300 S. Doty,(773) 568-8495,2903621
08/21/2020,JEEP,SW,,WHI,AM54879,IL,701 N. Sacramento,(773) 265-7605,6990721
07/15/2020,HOND,LL,,TAN,BN35224.,IL,701 N. Sacramento,(773) 265-7605,6989059
07/03/2020,DODG,PK,,MAR,WH8620A,WI,10300 S. Doty,(773) 568-8495,2901702
07/03/2020,FORD,VN,,SIL,BE17834,IL,10300 S. Doty,(773) 568-8495,2901703
07/08/2020,HOND,LL,,TAN,BR15397,IL,701 N. Sacramento,(773) 265-7605,6988808
07/24/2020,JEEP,LL,,MAR,,IL,701 N. Sacramento,(773) 265-7605,6989526
07/03/2020,OLDS,VN,,SIL,BQ73171,IL,10300 S. Doty,(773) 568-8495,2901697
07/03/2020,MERC,4D,,BLU,L216405,IN,10300 S. Doty,(773) 568-8495,2901706
07/24/2020,CHEV,LL,,BLK,CC28178,IL,10300 S. Doty,(773) 568-8495,2902357
07/03/2020,BUIC,SW,,SIL,BT82318,IL,10300 S. Doty,(773) 568-8495,2901709
08/30/2020,CHEV,LL,TK,WHI,L218503,IL,10300 S. Doty,(773) 568-8495,2903715
08/30/2020,BUIC,4D,,WHI,,IL,701 N. Sacramento,(773) 265-7605,6991069
07/03/2020,NISS,4D,,SIL,BZ47744,IL,10300 S. Doty,(773) 568-8495,2901708
07/03/2020,OLDS,2D,,LBL,Q247663,IL,10300 S. Doty,(773) 568-8495,2901698
08/10/2020,CHEV,4D,,WHI,419V399,IL,701 N. Sacramento,(773) 265-7605,6990284
07/03/2020,CHEV,4D,,TAN,V262140,NJ,10300 S. Doty,(773) 568-8495,2901711
07/03/2020,NISS,4D,,BLU,BF36375,IL,701 N. Sacramento,(773) 265-7605,6988633
07/21/2020,MITS,4D,,BLK,,IL,10300 S. Doty,(773) 568-8495,2902272
07/08/2020,BUIC,4D,,BGE,,,701 N. Sacramento,(773) 265-7605,6988805
07/15/2020,CHEV,4D,,RED,BN87082,IL,10300 S. Doty,(773) 568-8495,2902117
08/11/2020,PONT,4D,,GRN,AF57365,IL,10300 S. Doty,(773) 568-8495,2902965
07/21/2020,PONT,4D,,WHI,CA93519,IL,10300 S. Doty,(773) 568-8495,2902273
07/15/2020,CHEV,2D,,BLK,,IL,10300 S. Doty,(773) 785-9752,1720226
07/21/2020,,MC,,BLK,,IL,10300 S. Doty,(773) 568-8495,2902274
07/27/2020,CHEV,4D,,BLK,,IL,10300 S. Doty,(773) 785-9752,1720280
08/26/2020,HOND,4T,,WHI,8772AR5,AL,701 N. Sacramento,(773) 265-7605,6990876
09/01/2020,CHEV,4D,,MAR,BY71467,IL,400 E. Lower Wacker,(312) 744-7550,0225311
07/11/2020,GMC,LL,,BLK,,IL,701 N. Sacramento,(773) 265-7605,6988900
08/29/2020,DODG,4D,DUR,,485V503,IL,701 N. Sacramento,(773) 265-7605,6991027
06/26/2020,VOLK,4D,,SIL,BU85957,IL,10300 S. Doty,(773) 568-8495,2901526
08/28/2020,FORD,LL,,BLK,,IL,10300 S. Doty,(773) 568-8495,2903657
06/10/2020,NISS,4D,,SIL,BU71467,IL,701 N. Sacramento,(773) 265-1846,1540207
08/25/2020,CHEV,4D,,GRY,CG48745,IL,10300 S. Doty,(773) 568-8495,2903491
06/26/2020,FORD,LL,TK,GRN,,IL,701 N. Sacramento,(773) 265-7605,6988452
06/04/2020,NISS,,,GRY,BU80337,IL,10300 S. Doty,(773) 568-8495,2900946
07/20/2020,CHRY,VN,,BLU,,IL,10300 S. Doty,(773) 568-8495,2902238
08/08/2020,CHEV,VN,,MAR,BA70409,IL,701 N. Sacramento,(773) 265-7605,6990213
07/20/2020,CHEV,LL,,GRY,,IL,10300 S. Doty,(773) 785-9752,1720238
09/01/2020,CHEV,4D,,GRY,CF78162,IL,400 E. Lower Wacker,(312) 744-7550,0225312
08/25/2020,NISS,4D,,RED,CB49955,IL,701 N. Sacramento,(773) 265-7605,6990855
08/06/2020,NISS,4D,ALT,SIL,BT50002,IL,701 N. Sacramento,(773) 265-7605,6990105
08/25/2020,ACUR,2D,,GLD,BU82432,IL,10300 S. Doty,(773) 568-8495,2903498
08/26/2020,DODG,4D,,BLK,CF36617,IL,701 N. Sacramento,(773) 265-7605,6990877
07/29/2020,MINI,2D,,BLU,E805270,IL,701 N. Sacramento,(773) 265-7605,6989707
08/28/2020,HOND,4D,,SIL,BY62309,IL,10300 S. Doty,(773) 568-8495,2903656
08/26/2020,NISS,4T,,BLK,BL49477,IL,10300 S. Doty,(773) 568-8495,2903548
08/04/2020,CHEV,VT,,ONG,2385936B,IL,10300 S. Doty,(773) 785-9752,1720312
08/19/2020,HOND,LL,,WHI,N211336,IL,10300 S. Doty,(773) 568-8495,2903349
06/05/2020,HOND,LL,,BLK,CB50551,IL,701 N. Sacramento,(773) 265-7605,6987936
06/22/2020,HOND,4D,,WHI,AW34961,IL,10300 S. Doty,(773) 568-8495,2901433
08/26/2020,INFI,4T,,SIL,BN20752,IL,10300 S. Doty,(773) 568-8495,2903551
06/13/2020,SATR,4D,,SIL,BA44043,IL,701 N. Sacramento,(773) 265-7605,6988135
07/14/2020,CHRY,4D,,BLU,BR79450,IL,701 N. Sacramento,(773) 265-7605,6988987
08/26/2020,DODG,LL,,BLK,,,10300 S. Doty,(773) 568-8495,2903546
09/01/2020,HYUN,4D,,GRY,5820474,IL,400 E. Lower Wacker,(312) 744-7550,0225314
06/10/2020,CHEV,4D,,MAR,,IL,10300 S. Doty,(773) 568-8495,2901116
08/16/2020,CHEV,PK,,WHI,AK05808,AZ,10300 S. Doty,(773) 568-8495,2903279
06/10/2020,TOYT,LL,,BLK,BZ28171,IL,10300 S. Doty,(773) 785-9752,1720183
08/26/2020,CHEV,LL,,SIL,AS75355,IL,10300 S. Doty,(773) 568-8495,2903549
06/26/2020,CHEV,2D,,RED,BG77138,IL,10300 S. Doty,(773) 568-8495,2901528
09/01/2020,FORD,VN,,WHI,1579092-,IL,400 E. Lower Wacker,(312) 744-7550,0225307
08/17/2020,TOYT,4D,,GRY,BQ70053,IL,701 N. Sacramento,(773) 265-7605,6990552
06/27/2020,OLDS,4D,,WHI,00248128,IL,701 N. Sacramento,(773) 265-7605,6988455
08/16/2020,NISS,4D,,BLK,,,701 N. Sacramento,(773) 265-7605,6990514
08/28/2020,CHRY,4D,,WHI,,IL,10300 S. Doty,(773) 785-9752,1720424
06/05/2020,JEEP,LL,CHE,BLU,281V663,IL,701 N. Sacramento,(773) 265-7605,6987934
08/17/2020,GMC,LL,,GRY,081UCH,MN,10300 S. Doty,(773) 568-8495,2903317
07/03/2020,OLDS,4D,,SIL,BL64888,IL,701 N. Sacramento,(773) 265-7605,6988631
06/22/2020,FORD,LL,,RED,AD51867,IL,10300 S. Doty,(773) 568-8495,2901434
08/25/2020,CHEV,4D,,GRY,BF24701,IL,10300 S. Doty,(773) 568-8495,2903505
08/17/2020,CADI,4D,,BLK,BR85382,IL,701 N. Sacramento,(773) 265-1846,1540456
08/17/2020,TOYT,4D,,GRY,BD72611,IL,10300 S. Doty,(773) 568-8495,2903319
07/03/2020,CHEV,2D,,RED,286V911,IL,701 N. Sacramento,(773) 265-7605,6988629
06/13/2020,CHEV,4D,,WHI,,,10300 S. Doty,(773) 568-8495,2901205
06/13/2020,MITS,2D,,RED,BR86445,IL,701 N. Sacramento,(773) 265-7605,6988136
07/03/2020,PONT,HB,,SIL,AH84307,IL,701 N. Sacramento,(773) 265-7605,6988636
06/13/2020,PONT,4D,,WHI,BW18247,IL,701 N. Sacramento,(773) 265-7605,6988137
07/07/2020,FORD,4D,,WHI,BZ52431,IL,701 N. Sacramento,(773) 265-7605,6988790
07/07/2020,MITS,4D,,MAR,,IL,10300 S. Doty,(773) 568-8495,2901881
07/07/2020,MERZ,4D,,GRY,AX30352,IL,701 N. Sacramento,(773) 265-7605,6988791
07/08/2020,HOND,VN,TK,SIL,BX93115,IL,701 N. Sacramento,(773) 265-7605,6988795
07/08/2020,CHEV,4T,,SIL,,IL,10300 S. Doty,(773) 568-8495,2901884
07/14/2020,NISS,4D,,MAR,190810EN,IL,701 N. Sacramento,(773) 265-7605,6988992
07/20/2020,CHEV,LL,TK,SIL,,IL,10300 S. Doty,(773) 568-8495,2902240
08/01/2020,SATR,4D,,GRY,Q279471,IL,10300 S. Doty,(773) 568-8495,2902676
08/14/2020,GMC,LL,,YEL,,IL,701 N. Sacramento,(773) 265-7605,6990426
08/19/2020,TOYT,LL,,WHI,,,701 N. Sacramento,(773) 265-7605,6990622
06/13/2020,TOYT,2D,,BLK,,,701 N. Sacramento,(773) 265-7605,6988138
07/08/2020,MERZ,4D,,SIL,BG81098,IL,701 N. Sacramento,(773) 265-1846,1540235
07/08/2020,OTTE,UT,,WHI,303518TB,IL,10300 S. Doty,(773) 568-8495,2901898
08/14/2020,CHEV,PK,,BLK,AT75450,IL,10300 S. Doty,(773) 568-8495,2903181
08/28/2020,FORD,LL,,GRN,BH93469,IL,10300 S. Doty,(773) 785-9752,1720423
08/21/2020,CHEC,4D,,DBL,BN35373,IL,701 N. Sacramento,(773) 265-7605,6990723
08/21/2020,HOND,VN,,SIL,Q980996,IL,701 N. Sacramento,(773) 265-7605,6990722
08/21/2020,NISS,4D,,SIL,BP47779,IL,701 N. Sacramento,(773) 265-7605,6990724
08/28/2020,MAZD,LL,,SIL,BG86803,IL,701 N. Sacramento,(773) 265-7605,6990979
06/22/2020,CHEV,LL,,GRY,AT37781,IL,701 N. Sacramento,(773) 265-7605,6988357
08/26/2020,NISS,4T,,SIL,AG71508,IL,10300 S. Doty,(773) 568-8495,2903552
07/18/2020,TOYT,4D,,SIL,1893329,IL,701 N. Sacramento,(773) 265-7605,6989220
06/05/2020,CHEV,4D,,GRY,AQ42903,IL,701 N. Sacramento,(773) 265-7605,6987927
08/30/2020,TOYT,4D,,BLU,,IL,701 N. Sacramento,(773) 265-7605,6991070
06/16/2020,FORD,LL,,WHI,,,701 N. Sacramento,(773) 265-7605,6988193
06/10/2020,TOYT,4D,,BGE,BNQ396,IN,10300 S. Doty,(773) 568-8495,2901115
07/22/2020,MERZ,4D,,SIL,BR43518,IL,701 N. Sacramento,(773) 265-7605,6989422
07/08/2020,BUIC,4D,,TAN,BK24331,IL,701 N. Sacramento,(773) 265-7605,6988794
08/14/2020,DODG,4D,,WHI,,IL,10300 S. Doty,(773) 568-8495,2903179
06/05/2020,CHEV,4D,,BLK,BF71632,IL,10300 S. Doty,(773) 568-8495,487737
06/05/2020,HOND,VN,,GRY,,IL,701 N. Sacramento,(773) 265-1846,1540198
06/05/2020,CHRY,4D,,GRN,,IL,10300 S. Doty,(773) 568-8495,2900973
07/08/2020,CHEV,4D,,BLU,,IL,10300 S. Doty,(773) 568-8495,2901883
06/17/2020,CHEV,4D,,SIL,,IL,10300 S. Doty,(773) 785-9752,1720206
06/17/2020,HYUN,4D,,WHI,,IL,10300 S. Doty,(773) 568-8495,2901290
07/08/2020,TOYT,4T,,MAR,V740515,IL,701 N. Sacramento,(773) 265-7605,6988799
06/17/2020,TOYT,4D,,LBL,BE82922,IL,701 N. Sacramento,(773) 265-7605,6988223
07/17/2020,HOND,LL,TK,SIL,AY55652,IL,701 N. Sacramento,(773) 265-7605,6989191
06/17/2020,MERZ,4D,,BLK,5098669,IL,10300 S. Doty,(773) 568-8495,2901293
06/17/2020,CHEV,4D,,BLK,FP119473,IL,10300 S. Doty,(773) 568-8495,2901294
07/08/2020,CHEV,LL,,RED,AM43913,IL,10300 S. Doty,(773) 568-8495,2901899
06/17/2020,TOYT,LL,,COM,BW27751,IL,701 N. Sacramento,(773) 265-7605,6988224
06/17/2020,MAZD,4D,,SIL,,IL,701 N. Sacramento,(773) 265-1846,1540214
06/17/2020,NISS,4D,,RED,BZ28717,IL,10300 S. Doty,(773) 568-8495,2901297
06/17/2020,CHEV,4D,,BLU,CA80840,IL,10300 S. Doty,(773) 568-8495,2901298
06/18/2020,HOND,LL,,SIL,BT80379,IL,400 E. Lower Wacker,(312) 744-7550,0222262
06/18/2020,DODG,LL,,GRY,BF15636,IL,10300 S. Doty,(773) 568-8495,2901299
06/18/2020,VOLK,4D,,RED,BP80770,IL,10300 S. Doty,(773) 568-8495,2901301
06/18/2020,BMW,4D,,GRY,00249340,IL,10300 S. Doty,(773) 568-8495,2901300
06/18/2020,CHEV,4D,,SIL,CC17056,IL,10300 S. Doty,(773) 568-8495,2901302
08/31/2020,TOYT,4D,,WHI,,,701 N. Sacramento,(773) 265-7605,6991112
07/08/2020,CHEV,4D,,GRN,,,701 N. Sacramento,(773) 265-7605,6988810
06/18/2020,CADI,4D,,WHI,BL93896,IL,10300 S. Doty,(773) 568-8495,2901304
06/18/2020,TOYT,4D,,WHI,302V357,IL,10300 S. Doty,(773) 568-8495,2901305
06/18/2020,DODG,4D,,BLU,,IL,701 N. Sacramento,(773) 265-7605,6988229
06/18/2020,CHEV,4D,,GRY,5735456,IL,10300 S. Doty,(773) 568-8495,2901306
06/18/2020,CHEV,4D,,GRY,72276B8,TX,10300 S. Doty,(773) 568-8495,2901308
07/17/2020,CHEV,4D,,WHI,E558183,IL,701 N. Sacramento,(773) 265-1846,1540257
08/22/2020,DODG,PK,,GLD,,,701 N. Sacramento,(773) 265-7605,6990760
08/25/2020,HYUN,4D,,GRY,BZ38834,IL,10300 S. Doty,(773) 568-8495,2903504
07/11/2020,CHRY,LL,,TAN,BE76707,IL,10300 S. Doty,(773) 568-8495,2902001
09/01/2020,TOYT,4D,,WHI,ZX46564,IL,400 E. Lower Wacker,(312) 744-7550,0225313
08/11/2020,ACUR,LL,,BLK,,IL,701 N. Sacramento,(773) 265-7605,6990311
07/08/2020,DODG,LL,TK,BLK,E695401,IL,701 N. Sacramento,(773) 265-7605,6988797
06/08/2020,FORD,4D,,BLK,BU84397,IL,10300 S. Doty,(773) 568-8495,2901047
08/28/2020,CHRY,4D,,SIL,,IL,10300 S. Doty,(773) 568-8495,2903658
07/03/2020,HOND,4D,,BLU,933RDA,IN,10300 S. Doty,(773) 568-8495,2901725
08/11/2020,NISS,LL,,BLK,8MQD136,CA,701 N. Sacramento,(773) 265-7605,6990312
07/31/2020,CHRY,4D,,BLU,BM5J954,TX,10300 S. Doty,(773) 785-9752,1720301
08/26/2020,HYUN,4T,,SIL,BK45658,IL,10300 S. Doty,(773) 568-8495,2903550
09/01/2020,FORD,4D,,BLK,GML8266,OH,400 E. Lower Wacker,(312) 744-7550,0225316
08/19/2020,HOND,VN,,GLD,,,701 N. Sacramento,(773) 265-1846,1540466
07/24/2020,CADI,4D,,TAN,,IL,10300 S. Doty,(773) 785-9752,1720273
06/22/2020,TOYT,LL,,SIL,BN34151,IL,701 N. Sacramento,(773) 265-7605,6988360
06/18/2020,MAZD,4D,,RED,343V950,IL,701 N. Sacramento,(773) 265-7605,6988232
07/03/2020,CHEV,4D,,BLU,BH53991,IL,10300 S. Doty,(773) 568-8495,2901724
08/28/2020,CHEV,4D,,SIL,E992793,IL,10300 S. Doty,(773) 568-8495,2903661
07/31/2020,VOLK,4D,,GRY,S641697,IL,10300 S. Doty,(773) 568-8495,2902653
08/03/2020,,MC,,BLK,,,10300 S. Doty,(773) 785-9752,1720306
07/11/2020,BUIC,4D,,TAN,BM88287,IL,10300 S. Doty,(773) 568-8495,2902002
08/11/2020,CHEV,4D,,TAN,,IL,701 N. Sacramento,(773) 265-7605,6990313
07/22/2020,NISS,4D,,WHI,R198808,IL,701 N. Sacramento,(773) 265-1846,1540295
06/22/2020,JEEP,LL,,BLK,255V389,IL,701 N. Sacramento,(773) 265-7605,6988359
08/14/2020,LEXS,4D,,SIL,V395116,IL,10300 S. Doty,(773) 568-8495,2903178
06/18/2020,KIA,LL,,BLK,,IL,10300 S. Doty,(773) 568-8495,2901309
07/24/2020,CHEV,4D,,BLK,,IL,10300 S. Doty,(773) 785-9752,1720272
06/18/2020,CHEV,4D,,BLK,CC95787,IL,701 N. Sacramento,(773) 265-7605,6988231
06/05/2020,CHEV,4D,,BLU,,IL,10300 S. Doty,(773) 568-8495,2900975
07/24/2020,INFI,SD,,SIL,,IL,701 N. Sacramento,(773) 265-1846,1540302
07/31/2020,CHEV,4D,,BRZ,AQ92913,IL,10300 S. Doty,(773) 785-9752,1720302
06/05/2020,BMW,4D,,GRY,AGR1953,WI,10300 S. Doty,(773) 568-8495,2900974
06/10/2020,CHEV,LL,,BLK,,IL,10300 S. Doty,(773) 785-9752,1720184
07/27/2020,CHRY,4D,,GRN,178V789,IL,701 N. Sacramento,(773) 265-1846,1540306
06/22/2020,PONT,LL,,SIL,CA89584,IL,10300 S. Doty,(773) 568-8495,2901437
06/27/2020,FORD,4D,,BLU,CD60143,IL,10300 S. Doty,(773) 568-8495,2901533
08/24/2020,CHEV,PK,,SIL,C979388,LA,701 N. Sacramento,(773) 265-7605,6990825
07/27/2020,NISS,4D,,GRY,,,10300 S. Doty,(773) 568-8495,2902457
07/21/2020,CHEV,PK,,BLU,2838995B,IL,10300 S. Doty,(773) 568-8495,2902255
06/18/2020,PONT,4D,,BLK,BU75977,IL,701 N. Sacramento,(773) 265-7605,6988230
08/28/2020,GMC,LL,,BLK,BN81918,IL,10300 S. Doty,(773) 568-8495,2903660
08/21/2020,BMW,2D,,WHI,48049EA,IL,701 N. Sacramento,(773) 265-1846,1540491
07/03/2020,NISS,4D,,BLK,,IL,701 N. Sacramento,(773) 265-7605,6988640
06/27/2020,TOYT,4D,,WHI,780U333,IL,701 N. Sacramento,(773) 265-7605,6988459
07/31/2020,NISS,4D,,BLK,394YZY,WI,10300 S. Doty,(773) 568-8495,2902656
07/08/2020,TOYT,4D,,DGR,BN44978,IL,701 N. Sacramento,(773) 265-7605,6988800
08/12/2020,TOYT,4D,,WHI,BN44385,IL,701 N. Sacramento,(773) 265-1846,1540424
08/19/2020,TOYT,4D,,GRY,BZ21552,IL,701 N. Sacramento,(773) 265-1846,1540467
08/13/2020,LINC,4D,,WHI,BA30823,IL,10300 S. Doty,(773) 568-8495,2903074
08/21/2020,GM,PK,,TAN,,IL,701 N. Sacramento,(773) 265-1846,1540489
06/23/2020,NISS,4D,,BGE,BW19717,IL,701 N. Sacramento,(773) 265-7605,6988365
06/23/2020,CHEV,4D,,WHI,BW45030,IL,10300 S. Doty,(773) 568-8495,2901440
06/23/2020,NISS,LL,,SIL,,IL,701 N. Sacramento,(773) 265-7605,6988364
07/03/2020,CHEV,4D,,GRN,CLW4408,AZ,701 N. Sacramento,(773) 265-7605,6988644
07/08/2020,DODG,4D,,SIL,,IL,701 N. Sacramento,(773) 265-7605,6988802
09/01/2020,TOYT,4D,,GRY,AM99887,IL,400 E. Lower Wacker,(312) 744-7550,0225315
08/19/2020,GMC,PK,,WHI,,,10300 S. Doty,(773) 785-9752,1720375
06/08/2020,FORD,VN,,SIL,2839681B,IL,701 N. Sacramento,(773) 265-7605,6988021
07/14/2020,PORS,LL,,GRY,,,701 N. Sacramento,(773) 265-7605,6988991
08/14/2020,VOLV,LL,,BLK,,IL,701 N. Sacramento,(773) 265-1846,1540448
07/16/2020,FORD,LL,,SIL,BU45513,IL,701 N. Sacramento,(773) 265-7605,6989115
06/23/2020,CHEV,4D,,WHI,,IL,701 N. Sacramento,(773) 265-7605,6988363
06/23/2020,FORD,4D,,BLK,,IL,701 N. Sacramento,(773) 265-7605,6988362
